1;João Silva;joao.silva@ocipizza.com.br;D8JrkDqqBCqo;11999999999;TRUE
2;Maria Oliveira;maria.oliveira@ocipizza.com.br;MqSHdmlqg27O;12999999999;TRUE
3;Carlos Pereira;carlos.pereira@ocipizza.com.br;nzQdseHg7XMy;13999999999;TRUE
4;Ana Costa;ana.costa@ocipizza.com.br;AI9QDcB4U4sg;13999999999;TRUE
5;Fernanda Lima;fernanda.lima@ocipizza.com.br;jP9kMHTIydZY;14999999999;TRUE
6;Lucas Almeida;lucas.almeida@ocipizza.com.br;eK425Zco2lPK;15999999999;TRUE
7;Rita de Cássia;rita.cassia@ocipizza.com.br;JAbPHZIBIxef;16999999999;TRUE
8;Gabriel Martins;gabriel.martins@ocipizza.com.br;MpjEd1yS2SR9;17999999999;TRUE
9;Roberto Santos;roberto.santos@ocipizza.com.br;8hOccUMiOiqo;18999999999;TRUE
10;Juliana Santos;juliana.santos@ocipizza.com.br;kjn33VlSluzK;19999999999;TRUE
